age,job,marital,education,default,balance,housing,loan,contact,campaign,y
'\'(25.5-29.5]\'',management,single,secondary,no,'\'(-inf-105.5]\'',no,no,cellular,'\'(-inf-1.5]\'',no
'\'(29.5-60.5]\'',blue-collar,married,primary,no,'\'(105.5-1594.5]\'',no,no,cellular,'\'(-inf-1.5]\'',no
'\'(29.5-60.5]\'',blue-collar,married,secondary,no,'\'(-inf-105.5]\'',no,yes,cellular,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',technician,single,secondary,no,'\'(-inf-105.5]\'',no,no,telephone,'\'(1.5-3.5]\'',no
'\'(25.5-29.5]\'',technician,single,secondary,no,'\'(105.5-1594.5]\'',yes,yes,cellular,'\'(3.5-11.5]\'',no
'\'(25.5-29.5]\'',blue-collar,single,secondary,no,'\'(-inf-105.5]\'',yes,no,cellular,'\'(1.5-3.5]\'',yes
'\'(29.5-60.5]\'',blue-collar,married,secondary,no,'\'(105.5-1594.5]\'',yes,yes,telephone,'\'(1.5-3.5]\'',no
'\'(25.5-29.5]\'',blue-collar,single,primary,no,'\'(105.5-1594.5]\'',no,no,cellular,'\'(1.5-3.5]\'',no
'\'(-inf-25.5]\'',blue-collar,single,secondary,no,'\'(105.5-1594.5]\'',no,no,telephone,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',blue-collar,married,secondary,no,'\'(-inf-105.5]\'',no,yes,cellular,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',technician,single,secondary,no,'\'(-inf-105.5]\'',no,yes,cellular,'\'(3.5-11.5]\'',no
'\'(29.5-60.5]\'',blue-collar,divorced,primary,no,'\'(1594.5-inf)\'',no,yes,cellular,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',technician,married,tertiary,no,'\'(105.5-1594.5]\'',no,no,cellular,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',blue-collar,married,primary,no,'\'(105.5-1594.5]\'',yes,yes,cellular,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',services,married,secondary,no,'\'(105.5-1594.5]\'',no,no,cellular,'\'(1.5-3.5]\'',no
'\'(29.5-60.5]\'',admin.,married,secondary,no,'\'(105.5-1594.5]\'',no,yes,cellular,'\'(1.5-3.5]\'',no
